food_id,state,food_class,food_name,portion_size_g,calories,protein_g,carbs_g,fat_g,is_veg,cooking_method,image_path
256,Maharashtra,snack,samosa,85,229.89,4.02,23.95,12.02,veg,fried,images/samosa_256.jpg
257,West Bengal,sweet,rasgulla,182,353.79,7.36,63.31,3.83,veg,syrup,images/rasgulla_257.jpg
258,Punjab,curry,paneer_butter_masala,207,442.23,15.8,19.73,34.75,veg,gravy,images/paneer_butter_masala_258.jpg
259,Maharashtra,snack,samosa,70,181.59,3.65,21.57,9.42,veg,fried,images/samosa_259.jpg
261,West Bengal,sweet,rasgulla,111,200.32,4.35,36.01,2.33,veg,syrup,images/rasgulla_261.jpg
262,Maharashtra,snack,samosa,95,238.29,4.92,27.82,13.88,veg,fried,images/samosa_262.jpg
263,Punjab,curry,butter_chicken,249,585.76,36.75,15.62,42.56,nonveg,gravy,images/butter_chicken_263.jpg
265,West Bengal,sweet,rasgulla,82,145.77,3.08,28.35,1.72,veg,syrup,images/rasgulla_265.jpg
268,Maharashtra,snack,samosa,62,165.5,3.33,17.25,9.24,veg,fried,images/samosa_268.jpg
269,Odisha,rice,pakhala,253,244.98,4.68,51.35,1.24,veg,fermented,images/pakhala_269.jpg
270,Odisha,sweet,chhena_poda,64,208.16,4.9,26.61,7.6,veg,baked,images/chhena_poda_270.jpg
272,Telangana,biryani,chicken_biryani,210,370.58,13.96,50.55,16.33,nonveg,fried,images/chicken_biryani_272.jpg
273,Odisha,rice,pakhala,158,148.83,3.35,33.41,0.73,veg,fermented,images/pakhala_273.jpg
275,Telangana,biryani,veg_biryani,277,438.27,13.98,73.78,14.11,veg,fried,images/veg_biryani_275.jpg
276,West Bengal,sweet,rasgulla,111,201.4,4.76,40.51,2.33,veg,syrup,images/rasgulla_276.jpg
277,Tamil Nadu,dosa,masala_dosa,156,261.24,6.67,46.46,9.35,veg,fried,images/masala_dosa_277.jpg
278,Punjab,curry,butter_chicken,277,664.06,39.06,16.97,46.5,nonveg,gravy,images/butter_chicken_278.jpg
279,Maharashtra,snack,samosa,66,175.16,3.46,18.71,8.81,veg,fried,images/samosa_279.jpg
280,West Bengal,sweet,rasgulla,59,100.43,2.19,21.32,1.27,veg,syrup,images/rasgulla_280.jpg
282,West Bengal,sweet,rasgulla,65,111.7,2.49,21.89,1.4,veg,syrup,images/rasgulla_282.jpg
283,Maharashtra,snack,samosa,112,268.02,5.41,36.15,14.82,veg,fried,images/samosa_283.jpg
284,Punjab,curry,butter_chicken,187,474.45,30.22,11.83,31.97,nonveg,gravy,images/butter_chicken_284.jpg
285,Tamil Nadu,idli,idli,98,113.06,3.17,19.92,1.05,veg,steamed,images/idli_285.jpg
286,Punjab,curry,paneer_butter_masala,286,657.38,23.72,27.65,55.04,veg,gravy,images/paneer_butter_masala_286.jpg
288,Punjab,curry,paneer_butter_masala,162,359.55,13.24,17.01,31.36,veg,gravy,images/paneer_butter_masala_288.jpg
289,Maharashtra,snack,samosa,80,206.55,3.94,24.85,10.72,veg,fried,images/samosa_289.jpg
290,West Bengal,sweet,rasgulla,100,167.44,4.14,34.0,2.09,veg,syrup,images/rasgulla_290.jpg
291,Odisha,rice,pakhala,285,243.06,5.44,55.64,1.38,veg,fermented,images/pakhala_291.jpg
292,Telangana,biryani,chicken_biryani,236,435.02,17.17,57.79,18.65,nonveg,fried,images/chicken_biryani_292.jpg
293,Punjab,curry,butter_chicken,193,431.63,28.29,11.56,32.05,nonveg,gravy,images/butter_chicken_293.jpg
294,Punjab,curry,paneer_butter_masala,195,440.54,15.3,18.96,35.63,veg,gravy,images/paneer_butter_masala_294.jpg
296,Tamil Nadu,dosa,masala_dosa,180,295.32,6.83,53.18,10.26,veg,fried,images/masala_dosa_296.jpg
298,Odisha,sweet,chhena_poda,75,226.65,6.23,29.05,8.98,veg,baked,images/chhena_poda_298.jpg
299,Punjab,curry,butter_chicken,274,615.08,39.14,16.56,48.67,nonveg,gravy,images/butter_chicken_299.jpg
300,West Bengal,sweet,rasgulla,58,99.73,2.25,18.92,1.12,veg,syrup,images/rasgulla_300.jpg
301,Maharashtra,snack,samosa,81,225.61,4.07,23.16,10.97,veg,fried,images/samosa_301.jpg
302,Odisha,rice,pakhala,267,240.54,5.28,56.5,1.28,veg,fermented,images/pakhala_302.jpg
303,West Bengal,sweet,rasgulla,153,262.3,6.25,57.48,2.82,veg,syrup,images/rasgulla_303.jpg
306,Tamil Nadu,idli,idli,169,199.76,5.03,38.11,1.7,veg,steamed,images/idli_306.jpg
307,Maharashtra,snack,samosa,131,358.67,6.62,39.62,17.59,veg,fried,images/samosa_307.jpg
308,West Bengal,sweet,rasgulla,175,302.89,6.81,60.99,3.39,veg,syrup,images/rasgulla_308.jpg
309,Tamil Nadu,idli,idli,120,138.1,3.72,27.01,1.12,veg,steamed,images/idli_309.jpg
310,West Bengal,sweet,rasgulla,149,276.67,5.61,51.31,3.17,veg,syrup,images/rasgulla_310.jpg
311,Odisha,dal,dalma,189,236.95,9.65,31.46,5.58,veg,boiled,images/dalma_311.jpg
312,West Bengal,sweet,rasgulla,147,280.71,5.65,47.85,3.15,veg,syrup,images/rasgulla_312.jpg
313,Maharashtra,snack,samosa,104,265.57,5.27,31.65,13.88,veg,fried,images/samosa_313.jpg
314,Maharashtra,snack,samosa,128,353.35,6.45,41.24,17.98,veg,fried,images/samosa_314.jpg
315,Punjab,curry,paneer_butter_masala,163,357.62,13.33,17.03,31.13,veg,gravy,images/paneer_butter_masala_315.jpg
316,West Bengal,sweet,rasgulla,94,169.85,3.86,31.93,1.93,veg,syrup,images/rasgulla_316.jpg
317,Maharashtra,snack,samosa,85,230.49,4.11,26.74,12.35,veg,fried,images/samosa_317.jpg
318,Maharashtra,snack,samosa,137,354.97,7.38,42.0,20.05,veg,fried,images/samosa_318.jpg
319,Tamil Nadu,dosa,masala_dosa,211,361.06,8.37,59.76,12.36,veg,fried,images/masala_dosa_319.jpg
